MSN,YYYYMM,Value,Column_Order,Description,Unit
NUCASUS,198412,59.6,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198413,56.3,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198501,68.8,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198502,63.9,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198503,57.2,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198504,50.5,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198505,52.9,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198506,56.9,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198507,61.9,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198508,59.6,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198509,61.1,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198510,53.4,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198511,52.8,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198512,57.2,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198513,58,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198601,60.4,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198602,60.4,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198603,51.3,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198604,51.8,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198605,51.7,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198606,52.4,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198607,57.4,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198608,59.9,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198609,60.5,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198610,57.8,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198611,56.9,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198612,62.2,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198613,56.9,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198701,61.6,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198702,62.4,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198703,56.7,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198704,52.2,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198705,51.6,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198706,56.8,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198707,58.8,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198708,60.2,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198709,59.7,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198710,53.1,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198711,55.6,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198712,60.3,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198713,57.4,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198801,64.1,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198802,65.4,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198803,62.8,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198804,59.3,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198805,57.5,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198806,64.4,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198807,70.7,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198808,69.5,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198809,67.9,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198810,60.4,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198811,58,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198812,62.5,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198813,63.5,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198901,65.8,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198902,60.9,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198903,54.9,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198904,48,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198905,53.1,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198906,61.5,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198907,72.3,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198908,75.2,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198909,63.4,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198910,59.6,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198911,61.4,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198912,69.5,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,198913,62.2,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,199001,75.5,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,199002,75.7,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,199003,62.4,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,199004,53.3,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,199005,57.5,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,199006,64.1,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,199007,71.7,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,199008,74.6,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,199009,67.5,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,199010,58.5,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,199011,62.8,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,199012,69.6,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,199013,66,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,199101,73.4,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,199102,71.5,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,199103,66.3,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,199104,58.1,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,199105,63.1,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,199106,75.6,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,199107,82,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,199108,78.9,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,199109,72.3,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,199110,64.2,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,199111,64.6,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,199112,72.3,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,199113,70.2,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,199201,78.1,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,199202,76.3,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,199203,62,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,199204,59.1,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,199205,61.7,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,199206,71.5,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,199207,75.8,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,199208,79.3,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,199209,71.1,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,199210,65.9,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,199211,70.9,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,199212,78.9,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,199213,70.9,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,199301,81.1,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,199302,78,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,199303,64,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,199304,60.7,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,199305,68.4,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,199306,73.8,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,199307,76.7,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,199308,76.3,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,199309,70.1,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,199310,60.2,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,199311,65.7,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,199312,72.1,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,199313,70.5,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,199401,77.1,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,199402,74.9,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,199403,66.5,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,199404,60.7,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,199405,65.9,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,199406,72.6,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,199407,80.1,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,199408,81.5,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,199409,77.9,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,199410,68.6,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,199411,77.4,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,199412,82,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,199413,73.8,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,199501,85.9,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,199502,77.8,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,199503,70.3,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,199504,69.2,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,199505,73.7,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,199506,79,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,199507,83.8,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,199508,83.3,5,"Nuclear Generating Units, Capacity Factor",Percent
NUCASUS,199509,77.7,5,"Nuclear Generating Units, Capacity Factor",Percent
