MSN,YYYYMM,Value,Column_Order,Description,Unit
NUETSUS,198210,13.4,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198211,13.4,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198212,13.2,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198213,12.6,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198301,12.8,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198302,12.9,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198303,13.1,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198304,13.1,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198305,12.6,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198306,12.6,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198307,11.6,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198308,11.4,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198309,12.8,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198310,14.1,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198311,13.7,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198312,12.4,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198313,12.7,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198401,13.5,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198402,15,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198403,13.6,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198404,13.4,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198405,13.4,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198406,12,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198407,12.8,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198408,12.8,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198409,14.9,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198410,13,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198411,12.9,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198412,15.4,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198413,13.5,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198501,15.9,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198502,15.5,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198503,15.9,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198504,14.3,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198505,14.6,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198506,15,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198507,15.5,4,Nuclear Share of Electricity Net Generation,Percent
